"","logFC","logCPM","LR","PValue","FDR"
"YDL178W_mRNA",0.109843000055114,5.75650364563186,0.285135357745987,0.593354906648358,0.695317090850256
"YNL282W_mRNA",-0.178305937690205,2.4057101271505,0.284891849887638,0.593512704231243,0.695360928932994
"YGL088W_mRNA",-0.212374766260666,9.31270303061456,0.284045300226975,0.594061959127586,0.695863288566403
"YLR225C_mRNA",0.103448374271784,5.92201868008087,0.2833462465668,0.594516309086118,0.69625429871886
"YGL098W_mRNA",-0.126309048982915,3.80048085435991,0.281278994183444,0.595864141504754,0.697691319953671
"YMR289W_mRNA",0.128411300450402,3.43740917846278,0.280995726174822,0.596049324083966,0.697766699616738
"YIR023C-A_mRNA",-0.259693084328394,2.90727411409865,0.279163885105211,0.597249760347369,0.698884037090338
"YMR251W_mRNA",-0.262110552712077,2.79304736653354,0.279141630697991,0.597264374979362,0.698884037090338
"YPL270W_mRNA",0.0994934672375327,5.82696841453399,0.278985733396311,0.597366774777527,0.698884037090338
"YMR255W_mRNA",0.165138214706725,5.90215232767673,0.277831656558753,0.598125960436811,0.699630528044354
"YML102W_mRNA",-0.164104678901971,3.32688585900189,0.276611587397671,0.598930751923143,0.700226499471338
"YOL043C_mRNA",-0.117911849101371,3.43381999287041,0.276602276013347,0.598936902677126,0.700226499471338
"YDL016C_mRNA",-0.212431763604552,2.89993952483194,0.276508042103908,0.598999157529065,0.700226499471338
"YKL053W_mRNA",0.271492438042122,2.37026397578974,0.275478376373902,0.599680281540594,0.700880879437166
"YAL059W_mRNA",0.163710745803586,3.45752675283584,0.274074703236685,0.600611431631139,0.701827155391758
"YNL168C_mRNA",0.147640654541669,4.88713739053117,0.273672953105013,0.60087849843963,0.701997210151154
"YKR022C_mRNA",0.186592262360176,4.09846190909871,0.272458983615914,0.601687014871028,0.702720549633829
"YLR241W_mRNA",-0.140780747150971,5.93894974233951,0.27237809450995,0.601740969267472,0.702720549633829
"YHR172W_mRNA",0.16087035274854,3.13718773415377,0.272148225935292,0.601894351143641,0.702734758619172
"YDR533C_mRNA",0.1070679637887,8.97182602219146,0.271903157719087,0.602057965903241,0.702734758619172
"YNL016W_mRNA",0.0910208424699546,6.53206615193313,0.271813076628935,0.602118130264245,0.702734758619172
"YJL137C_mRNA",0.119768659282645,5.20534590752996,0.271307275436017,0.602456186061622,0.702938565102367
