"","logFC","logCPM","LR","PValue","FDR"
"YMR095C_mRNA",-0.783624505667338,2.26373002126088,3.5913442360724,0.0580812436456691,0.100865082169989
"YNL207W_mRNA",-0.499625370756507,4.14327118408629,3.58858632712979,0.0581777139992229,0.101002247087319
"YPL047W_mRNA",-0.697164466609041,3.12449113192648,3.58280587460379,0.0583804642596095,0.101323786527495
"YHR172W_mRNA",-0.646830277100585,3.13718773415377,3.57213409074561,0.0587567539112572,0.101946233280691
"YDL074C_mRNA",0.522401182895977,6.43286982687096,3.57143061423772,0.0587816490466291,0.101958800268267
"YJL138C_mRNA",-0.409603977138107,8.84900277917333,3.5613510515781,0.0591395857085999,0.102548858316684
"YEL020C-B_mRNA",0.410038322994701,4.29008952639724,3.5473610996782,0.0596402294589933,0.103385943984137
"YGL031C_mRNA",-0.376448343830895,7.3456546050836,3.54147918504796,0.0598520633347704,0.103722027549245
"YHR021C_mRNA",-0.411542988275753,7.66934415560326,3.54020877570577,0.0598979214141056,0.103770364153531
"YNL260C_mRNA",-1.06022023624452,2.60332875937921,3.52838352751627,0.0603265758732727,0.104481649848283
"YDR189W_mRNA",-0.417791446024408,5.13726750408643,3.52621475104416,0.0604055455709083,0.104587059717496
"YJR073C_mRNA",-0.346158030551974,5.94553008691703,3.50796402746096,0.0610744667125672,0.105713551013422
"YPR148C_mRNA",0.467960963007947,6.72421753494561,3.50666397321416,0.0611224158358997,0.105764851368531
"YOR277C_mRNA",0.499909373747649,4.12738976257249,3.49295874588583,0.0616303426659751,0.106611817681543
"YPR154W_mRNA",0.363379410537854,5.62485300639418,3.48603316441853,0.0618887179305653,0.107012229607877
"YCR082W_mRNA",0.354244874082904,5.73526808767168,3.48576173861713,0.0618988675761629,0.107012229607877
"YLR451W_mRNA",0.411294573603224,5.42534314088403,3.48354043137707,0.0619819973732204,0.10712388295264
"YPL264C_mRNA",-0.576957880181588,4.22732198562401,3.48258418432306,0.0620178203928941,0.107153733350092
"YKL083W_mRNA",1.22326126738407,5.05584545673186,3.48127912554946,0.0620667462201162,0.107206198016564
"YJL025W_mRNA",-0.607236276506212,3.24641282906269,3.46855873402342,0.0625457847912401,0.108001331226966
"YLR238W_mRNA",0.605862477211347,4.37825979468434,3.46462318774926,0.0626947906189287,0.108226273345766
"YIL109C_mRNA",-0.392088048448232,5.88284109574971,3.46293176803224,0.0627589465428561,0.108304653490151
"YIL131C_mRNA",-0.480524968598329,3.46779629539065,3.45886196633406,0.0629136018816433,0.108510278421603
"YKR038C_mRNA",-0.355312156718203,5.13437079915663,3.45880755850698,0.0629156721665422,0.108510278421603
"YOR198C_mRNA",0.434899787958937,6.56729093271108,3.45593988960147,0.0630248933335257,0.108639840875566
"YLR222C_mRNA",-0.50559823687044,3.82313536658904,3.45584759719392,0.0630284118376074,0.108639840875566
"YNR013C_mRNA",0.41460695737361,5.11521342168003,3.45212015091012,0.0631706900346319,0.108852597147981
"YER027C_mRNA",-0.36136851148035,4.94478734263294,3.44815030292139,0.0633225973433474,0.109081813974105
"YGR255C_mRNA",0.315073873986962,6.97062382600261,3.44405317201312,0.0634797835790985,0.109319985078376
"YDR443C_mRNA",-0.452074853097464,5.34258563059212,3.44280328721742,0.0635278181158428,0.109370097596754
"YDR128W_mRNA",-0.398827443091102,5.29152781158154,3.43078608331005,0.0639916359225832,0.110135783399535
"YDL143W_mRNA",-0.355098684363294,6.3493306184658,3.42910537419855,0.0640567921256268,0.110215082310879
"YKL211C_mRNA",0.414929280928177,4.96735296711345,3.42134434098043,0.0643585839276957,0.11070136413531
"YGR144W_mRNA",-0.652804801798678,3.99528278174111,3.41823525074716,0.0644799076839838,0.110877030896901
"YPR031W_mRNA",-0.435858480145442,4.47006381861198,3.40969018860585,0.0648146140153077,0.111419407902505
"YDR059C_mRNA",-0.440908613027096,5.80281561605224,3.4055227472887,0.0649785229562513,0.111628810292698
"YJL121C_mRNA",0.399789403945117,4.22664024439656,3.40520632739016,0.0649909860693277,0.111628810292698
"YPL167C_mRNA",0.385965973358209,5.51963858052638,3.40511951194404,0.064994405992788,0.111628810292698
"YKL110C_mRNA",-0.418269438184987,5.48907236347058,3.40281516923571,0.0650852512733761,0.111751608607319
"YOR150W_mRNA",0.325071754277714,5.41462299122692,3.39154249694901,0.0655316169528326,0.112484582323792
"YNL107W_mRNA",-0.501176944491913,4.10799107535865,3.38795091432584,0.0656745189397241,0.112696381876366
"YLL007C_mRNA",-0.37572440491056,4.52293370708727,3.38184763329887,0.0659181200888184,0.113080802385808
"YDR167W_mRNA",0.358990449206363,5.10016380955692,3.37900277774601,0.066031996738508,0.113217116957957
"YBL091C-A_mRNA",0.547188205090596,3.93557939100662,3.37888207286393,0.0660368330746832,0.113217116957957
"YDL232W_mRNA",0.509917030176731,3.95573853013246,3.378394174768,0.0660563857597496,0.113217116957957
"YBR102C_mRNA",-0.414489395042077,4.46273716239786,3.37050065263893,0.0663735820810421,0.113727027617947
"YGR014W_mRNA",-0.425510439125076,5.52699964128222,3.3628596884842,0.0666821796342734,0.114221906751946
"YKL141W_mRNA",-0.358343868340096,8.28237873058523,3.35036276090171,0.0671902048242586,0.115057996758054
"YDL033C_mRNA",-0.627088521808445,3.30628052561998,3.34299753458204,0.0674915520210275,0.115539776073934
"YKL006W_mRNA",-0.455677040258623,6.82286746917482,3.34007039400969,0.0676117164416451,0.115711192345761
"YKR048C_mRNA",-0.395869567640469,5.85336412982083,3.33684491451152,0.0677443931336748,0.115903914318752
"YGR160W_mRNA",-1.00944592510678,2.51674026423063,3.33592675670293,0.0677822114588466,0.115911117166014
"YCL065W_mRNA",1.12744042104852,1.99262496484535,3.33576834695499,0.0677887385364952,0.115911117166014
"YER171W_mRNA",-0.412594632323219,4.51111066316649,3.33321531438203,0.0678940258263463,0.116056789929854
"YJL032W_mRNA",0.89452386307649,2.89577328166447,3.32876866392604,0.0680778237964143,0.116302921417536
"YNR024W_mRNA",0.77546947543571,4.11822445275427,3.32875750892929,0.0680782855458258,0.116302921417536
"YGL010W_mRNA",0.38881675788518,3.98330839663794,3.32648672010011,0.0681723522432236,0.116429185853595
"YAL049C_mRNA",-0.347881078960785,6.59813184890973,3.32515592077199,0.068227544769566,0.116460000335595
"YPL067C_mRNA",0.914105339039651,2.54263445287272,3.32507938472738,0.0682307204182226,0.116460000335595
"YDL123W_mRNA",-0.550334462619149,3.46487040103329,3.32207176766787,0.068355638307134,0.116638749442247
"YJL199C_mRNA",-1.06646168806932,1.99693785133425,3.31681944929181,0.068574374228359,0.11697743223361
"YNR021W_mRNA",-0.313322735287185,5.04232981397852,3.3161677204586,0.0686015680341818,0.116989269845124
"YDR036C_mRNA",-0.339599343819434,5.72845147468818,3.30421989742413,0.0691021484979774,0.117808149269279
"YPL243W_mRNA",-0.42555828443533,5.21245164844975,3.30033112219224,0.069265919259622,0.118052508009317
"YDR409W_mRNA",0.511471143505847,4.24311580861934,3.29623730404863,0.0694387740421946,0.118312200255963
