"","logFC","logCPM","LR","PValue","FDR"
"YER138W-A_mRNA",-0.15397741916318,5.34916297097169,0.25576477421167,0.613044857427529,0.673824376118251
"YNL012W_mRNA",0.139196645110295,3.09607468765366,0.255134473022469,0.613482717632776,0.674177354841498
"YOL100W_mRNA",0.137750341820855,6.22387914591411,0.254636542247514,0.613829102444094,0.674429692926971
"YGL179C_mRNA",0.104628447209738,5.08862519695318,0.253908266827895,0.614336492188078,0.674858801612465
"YGR261C_mRNA",0.101198471491428,5.3499453418521,0.253058532547084,0.6149296570336,0.675381954559055
"YNL177C_mRNA",0.116916477229673,5.3467871449583,0.250513145157446,0.61671398775403,0.677212926476668
"YGL249W_mRNA",0.122478219823133,3.43374855853185,0.25004361168312,0.61704437080295,0.677446927534278
"YDR245W_mRNA",-0.107674402842705,5.70272748971678,0.248364639744379,0.618228945992551,0.678618470553587
"YGR213C_mRNA",-0.147409635465247,3.11166863807318,0.248115449224932,0.618405184593468,0.678682946268644
"YNR027W_mRNA",-0.201155037278472,2.59027272427088,0.241565948980044,0.623077384670013,0.683680656127279
"YDL008W_mRNA",-0.148053571117159,3.79961750680318,0.239789157419122,0.62435843785571,0.684956189374089
"YKL033W-A_mRNA",-0.113040305120359,5.58515509884564,0.238635595464821,0.625193300889236,0.685741835536694
"YHR024C_mRNA",-0.136898373543049,4.76964185235573,0.235968770087472,0.627132963889883,0.687738750603373
"YNR030W_mRNA",-0.10978536989684,5.02229335277562,0.23532443858663,0.627603636521902,0.688124260544895
"YOR145C_mRNA",-0.0886346950439888,5.17815851966943,0.234135273285791,0.628474394769364,0.688948207285603
"YMR166C_mRNA",-0.190260440007746,3.15966930643382,0.233773199020206,0.628740063101286,0.689108653600195
"YDL069C_mRNA",0.175403827250103,2.853532969452,0.233094944727164,0.629238409201616,0.689494758381887
"YJL176C_mRNA",0.109805447755893,5.31816860172402,0.23296894145073,0.629331088329174,0.689494758381887
"YLR039C_mRNA",-0.118185449253983,5.65773561060414,0.230338469216175,0.631272972183415,0.691491122194464
"YML049C_mRNA",0.0828932539581514,5.82043355057278,0.229806659979831,0.631667224257844,0.691791787507263
"YMR299C_mRNA",0.101907280096263,4.07264602391715,0.228266060307106,0.632812509739414,0.692914702607555
"YLL004W_mRNA",0.139779135618105,3.36675405101039,0.226133596527182,0.634405647425311,0.694527486643025
"YGR128C_mRNA",0.164578708491423,3.99457399011626,0.225927245261357,0.634560298124283,0.694565147236281
"YOR026W_mRNA",0.121961127416931,3.42559728177098,0.225370186837718,0.634978220360198,0.694848899060696
"YDR468C_mRNA",0.108504666548233,4.13739420218796,0.22526110000971,0.635060134719774,0.694848899060696
"YKL131W_mRNA",0.209850815352541,2.17881445841079,0.224920401306846,0.635316125263013,0.694997337030144
